descricao,Localizacao_Evento,Avaliacao_Media
"Realizar Pesquisa de Mercado para Lançamento de Produto",Manaus,8.0000
"Desenvolver um Protótipo de Dispositivo Eletrônico",Sydney,8.0000
"Criar um Curta-Metragem sobre Inclusão Social",Aracaju,8.0000
"Realizar uma Auditoria de Qualidade em Processos",Pequim,8.0000
"Elaborar um Plano de Carreira para Profissional de TI","Campo Grande",8.0000
"Implementar um Sistema de Monitoramento Ambiental","Boa Vista",7.5000
"Desenvolver um Aplicativo de Gerenciamento de Tarefas","São Paulo",7.5000
"Desenvolver um Aplicativo de Saúde Mental","Porto Velho",7.0000
"Elaborar um Contrato Empresarial para Startup de Tecnologia",Curitiba,7.0000
"Implementar um Sistema de Recomendação para uma Plataforma de Streaming","Belo Horizonte",7.0000
"Desenvolver um Aplicativo de Assistência a Idosos",Dubai,7.0000
"Desenvolver um Aplicativo de Receitas Saudáveis",Estocolmo,7.0000
"Desenvolver um Jogo Educacional para Crianças","Porto Alegre",7.0000
"Implementar um Sistema de Recomendação para uma Plataforma de Streaming",Londres,7.0000
"Elaborar um Plano de Marketing para Lançamento de Livro","São Luís",7.0000
"Realizar uma Auditoria de Qualidade em Processos",Vitória,7.0000
"Desenvolver um Aplicativo de Saúde Mental","Rio de Janeiro",7.0000
"Criar um Plano de Gerenciamento de Crises para Empresa",Cingapura,7.0000
"Desenvolver um Jogo Educacional para Crianças",Mumbai,6.0000
"Desenvolver um Protótipo de Dispositivo Eletrônico",Recife,6.0000
"Desenhar o Layout de um Espaço de Coworking",Brasília,6.0000
"Criar uma Campanha de Conscientização sobre Saúde Mental",Palmas,6.0000
"Elaborar um Contrato Empresarial para Startup de Tecnologia",Berlim,6.0000
"Criar uma Campanha de Conscientização sobre Saúde Mental","Los Angeles",6.0000
"Criar um Curta-Metragem sobre Inclusão Social","Buenos Aires",6.0000
"Desenvolver um Aplicativo de Receitas Saudáveis",Belém,6.0000
"Criar um Podcast sobre Inovação e Tecnologia",Florianópolis,6.0000
"Desenvolver um Sistema de Controle de Estoque","Los Angeles",6.0000
"Desenvolver um Sistema de Controle de Estoque",Cuiabá,6.0000
"Implementar um Sistema de Monitoramento Ambiental",Barcelona,5.5000
"Conduzir uma Oficina de Criatividade para Jovens","João Pessoa",5.0000
"Criar uma Campanha de Marketing para Produto Sustentável","Nova York",5.0000
"Desenvolver um Aplicativo de Assistência a Idosos",Goiania,5.0000
"Realizar Pesquisa de Mercado para Lançamento de Produto",Toronto,5.0000
"Elaborar um Plano de Carreira para Profissional de TI",Pequim,5.0000
"Implementar um Sistema de Controle Financeiro Pessoal",Natal,5.0000
"Elaborar um Plano de Marketing para Lançamento de Livro","Hong Kong",5.0000
"Criar uma Campanha de Marketing para Produto Sustentável","Rio de Janeiro",5.0000
"Criar um Plano de Gerenciamento de Crises para Empresa",Fortaleza,5.0000
"Criar um Guia Ilustrado de Práticas Sustentáveis",Barcelona,4.0000
"Desenhar Logotipo para Marca de Moda Sustentável",Maceió,4.0000
"Conduzir um Estudo de Caso em Psicologia Organizacional",Salvador,4.0000
"Desenhar Logotipo para Marca de Moda Sustentável",Amsterdã,4.0000
"Criar um Guia Ilustrado de Práticas Sustentáveis",Teresina,4.0000
"Implementar um Sistema de Controle Financeiro Pessoal",Paris,4.0000
"Conduzir um Estudo de Caso em Psicologia Organizacional","Cidade do Cabo",4.0000
"Desenhar o Layout de um Espaço de Coworking",Tóquio,4.0000
"Conduzir uma Oficina de Criatividade para Jovens",Dubai,3.0000
"Criar um Podcast sobre Inovação e Tecnologia",Seul,3.0000
