Projeto,Localizacao,Contagem_Colaboracoes
"Implementar um Sistema de Monitoramento Ambiental",Barcelona,2
"Implementar um Sistema de Monitoramento Ambiental","Boa Vista",2
"Desenvolver um Aplicativo de Gerenciamento de Tarefas","São Paulo",2
"Elaborar um Plano de Carreira para Profissional de TI","Campo Grande",1
"Desenhar o Layout de um Espaço de Coworking",Brasília,1
"Elaborar um Contrato Empresarial para Startup de Tecnologia",Curitiba,1
"Conduzir um Estudo de Caso em Psicologia Organizacional",Salvador,1
"Desenvolver um Protótipo de Dispositivo Eletrônico",Recife,1
"Criar um Plano de Gerenciamento de Crises para Empresa",Fortaleza,1
"Realizar Pesquisa de Mercado para Lançamento de Produto",Manaus,1
"Desenvolver um Jogo Educacional para Crianças","Porto Alegre",1
"Implementar um Sistema de Controle Financeiro Pessoal",Natal,1
"Criar um Podcast sobre Inovação e Tecnologia",Florianópolis,1
"Desenhar Logotipo para Marca de Moda Sustentável",Maceió,1
"Desenvolver um Aplicativo de Saúde Mental","Porto Velho",1
"Implementar um Sistema de Recomendação para uma Plataforma de Streaming","Belo Horizonte",1
"Conduzir uma Oficina de Criatividade para Jovens","João Pessoa",1
"Desenvolver um Sistema de Controle de Estoque",Cuiabá,1
"Criar um Guia Ilustrado de Práticas Sustentáveis",Teresina,1
"Elaborar um Plano de Marketing para Lançamento de Livro","São Luís",1
"Desenvolver um Aplicativo de Receitas Saudáveis",Belém,1
"Criar um Curta-Metragem sobre Inclusão Social",Aracaju,1
"Realizar uma Auditoria de Qualidade em Processos",Vitória,1
"Desenvolver um Aplicativo de Assistência a Idosos",Goiania,1
"Criar uma Campanha de Conscientização sobre Saúde Mental",Palmas,1
"Criar uma Campanha de Marketing para Produto Sustentável","Nova York",1
"Conduzir uma Oficina de Criatividade para Jovens",Dubai,1
"Elaborar um Contrato Empresarial para Startup de Tecnologia",Berlim,1
"Conduzir um Estudo de Caso em Psicologia Organizacional","Cidade do Cabo",1
"Desenvolver um Protótipo de Dispositivo Eletrônico",Sydney,1
"Criar um Plano de Gerenciamento de Crises para Empresa",Cingapura,1
"Realizar Pesquisa de Mercado para Lançamento de Produto",Toronto,1
"Desenvolver um Jogo Educacional para Crianças",Mumbai,1
"Implementar um Sistema de Controle Financeiro Pessoal",Paris,1
"Criar um Podcast sobre Inovação e Tecnologia",Seul,1
"Desenhar Logotipo para Marca de Moda Sustentável",Amsterdã,1
"Desenvolver um Aplicativo de Saúde Mental","Rio de Janeiro",1
"Elaborar um Plano de Carreira para Profissional de TI",Pequim,1
"Desenhar o Layout de um Espaço de Coworking",Tóquio,1
"Desenvolver um Sistema de Controle de Estoque","Los Angeles",1
"Criar um Guia Ilustrado de Práticas Sustentáveis",Barcelona,1
"Elaborar um Plano de Marketing para Lançamento de Livro","Hong Kong",1
"Desenvolver um Aplicativo de Receitas Saudáveis",Estocolmo,1
"Criar um Curta-Metragem sobre Inclusão Social","Buenos Aires",1
"Realizar uma Auditoria de Qualidade em Processos",Pequim,1
"Desenvolver um Aplicativo de Assistência a Idosos",Dubai,1
"Criar uma Campanha de Conscientização sobre Saúde Mental","Los Angeles",1
"Implementar um Sistema de Recomendação para uma Plataforma de Streaming",Londres,1
"Criar uma Campanha de Marketing para Produto Sustentável","Rio de Janeiro",1
